Step | #Features | Val Acc | Removed Feature
   0 |        35 | 0.8647 | SC_GLUCOSE
   1 |        34 | 0.8045 | SC_ALKP
   2 |        33 | 0.7669 | SC_BUN_CREA
   3 |        32 | 0.7218 | SC_CHLORIDE
   4 |        31 | 0.7293 | SC_CHOL
   5 |        30 | 0.6992 | SC_SODIUM
   6 |        29 | 0.7143 | SC_CREATININE
   7 |        28 | 0.6842 | CBC_NEUTROPHIL
   8 |        27 | 0.6917 | CBC_MONOCYTE
   9 |        26 | 0.6842 | CBC_RDW
  10 |        25 | 0.6466 | CBC_HCT
  11 |        24 | 0.6541 | SCM_ALT
  12 |        23 | 0.6391 | SC_TOT_BILIRUBIN
  13 |        22 | 0.6316 | CBC_MCV
  14 |        21 | 0.6391 | SC_PHOSPHORUS
  15 |        20 | 0.6165 | SC_AMYL
  16 |        19 | 0.5940 | SC_GLOB
  17 |        18 | 0.6015 | SC_TOT_PROTEIN_GLOBS
  18 |        17 | 0.5940 | SC_ALB_GLOB
  19 |        16 | 0.6015 | CBC_MPV
  20 |        15 | 0.6090 | SC_CALCIUM
  21 |        14 | 0.5639 | CBC_HGB
  22 |        13 | 0.5865 | CBC_MCH
  23 |        12 | 0.5414 | SC_BUN
  24 |        11 | 0.5789 | CBC_LYMPHOCYTE
  25 |        10 | 0.5263 | CBC_PCT
  26 |         9 | 0.5789 | CBC_EOSINOPHIL
  27 |         8 | 0.5263 | SC_GGT
  28 |         7 | 0.5865 | CBC_PLT
  29 |         6 | 0.6090 | SC_ALB
  30 |         5 | 0.5263 | SC_POTASSIUM
  31 |         4 | 0.5414 | CBC_RBC
  32 |         3 | 0.5038 | PET_EXAM_WEIGHT
  33 |         2 | 0.4812 | CBC_MCHC
