Step | #Features | Val Acc | Removed Feature
   0 |        35 | 0.7168 | SC_GLUCOSE
   1 |        34 | 0.6814 | SC_CREATININE
   2 |        33 | 0.6991 | SC_ALKP
   3 |        32 | 0.6549 | CBC_NEUTROPHIL
   4 |        31 | 0.6903 | SC_CHLORIDE
   5 |        30 | 0.6372 | CBC_MONOCYTE
   6 |        29 | 0.6549 | SC_SODIUM
   7 |        28 | 0.6549 | SC_GLOB
   8 |        27 | 0.6726 | CBC_RDW
   9 |        26 | 0.6106 | CBC_MPV
  10 |        25 | 0.6106 | SC_PHOSPHORUS
  11 |        24 | 0.5664 | SC_TOT_PROTEIN_GLOBS
  12 |        23 | 0.5841 | SC_CHOL
  13 |        22 | 0.5310 | SC_BUN_CREA
  14 |        21 | 0.5752 | SCM_ALT
  15 |        20 | 0.5575 | SC_ALB_GLOB
  16 |        19 | 0.5664 | CBC_LYMPHOCYTE
  17 |        18 | 0.5221 | CBC_HCT
  18 |        17 | 0.5044 | CBC_RBC
  19 |        16 | 0.4602 | SC_BUN
  20 |        15 | 0.4956 | CBC_MCV
  21 |        14 | 0.5310 | CBC_MCH
  22 |        13 | 0.5487 | SC_TOT_BILIRUBIN
  23 |        12 | 0.5487 | SC_GGT
  24 |        11 | 0.5221 | CBC_PCT
  25 |        10 | 0.5310 | CBC_HGB
  26 |         9 | 0.5398 | CBC_EOSINOPHIL
  27 |         8 | 0.5133 | SC_CALCIUM
  28 |         7 | 0.5044 | CBC_MCHC
  29 |         6 | 0.5133 | SC_AMYL
  30 |         5 | 0.5044 | PET_EXAM_WEIGHT
  31 |         4 | 0.4956 | CBC_BASOPHIL_PCT
  32 |         3 | 0.4867 | SC_ALB
  33 |         2 | 0.4956 | CBC_PLT
